latitude,longitude,String,danger
38.416,-75.599,There is 1 sex offender in this area. ,2
38.935,-78.199,There is 1 sex offender in this area. ,2
39.066,-77.016,There is 1 sex offender in this area. ,2
39.306,-76.635,There is 1 CCTV camera in this area. ,0
39.195,-77.248,There is 1 sex offender in this area. ,2
39.361,-76.605,There is 1 gun offender in this area. ,1
40.099,-74.219,There is 1 sex offender in this area. ,2
39.357,-76.683,There is 1 gun offender in this area. ,1
45.436,-122.596,There is 1 sex offender in this area. ,2
38.86,-76.9,There is 1 sex offender in this area. ,2
38.826,-76.959,There is 1 sex offender in this area. ,2
39.334,-76.677,There is 1 sex offender in this area. ,2
39.322,-76.553,There is 1 gun offender in this area. ,1
38.758,-77.011,There is 1 sex offender in this area. ,2
39.337,-76.698,There is 1 sex offender in this area. ,2
39.327,-76.548,There is 1 gun offender in this area. ,1
39.869,-76.976,There is 1 sex offender in this area. ,2
38.762,-76.906,There is 1 sex offender in this area. ,2
39.316,-76.564,There is 1 sex offender in this area. ,2
38.982,-76.957,There is 1 sex offender in this area. ,2
39.425,-76.3,There is 1 sex offender in this area. ,2
39.278,-76.666,There is 1 gun offender in this area. ,1
39.306,-76.59,There is 1 gun offender in this area. ,1
38.066,-75.564,There is 1 sex offender in this area. ,2
39.315,-76.638,There is 1 gun offender in this area. ,1
39.277,-76.664,There are 3 sex offenders in this area. There is 1 gun offender in this area. ,7
39.187,-77.297,There is 1 sex offender in this area. ,2
38.327,-75.204,There is 1 sex offender in this area. ,2
39.285,-76.674,There is 1 gun offender in this area. ,1
39.287,-76.597,There is 1 gun offender in this area. There are 4 CCTV cameras in this area. ,1
39.347,-76.604,There is 1 gun offender in this area. ,1
39.282,-76.652,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.663,-77.179,There is 1 sex offender in this area. ,2
39.314,-76.668,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.297,-76.68,There is 1 sex offender in this area. There are 2 gun offenders in this area. ,4
39.382,-76.464,There is 1 sex offender in this area. ,2
39.317,-76.687,There are 2 sex offenders in this area. ,4
